region;mean_gradient_variance
Module1_1_1_1;2549.1724656059523
Module1_1_1_2;287.8155080332701
Module1_1_1_3;8819.700858832375
Module1_1_2_1;1771.7692751200702
Module1_1_2_2_1;15912.993947332012
Module1_1_2_2_2;25292.05798038752
Module1_1_2_3_1_1;25756.149628335093
Module1_1_2_3_1_2;336.98435189077725
Module1_1_2_3_2;207.554745871518
Module1_2_1_1;11666.16072247599
Module1_2_1_2;562.9074800906765
Module1_2_2_1;5936.639852849577
Module1_2_2_2;6732.721467952639
Module1_2_3_1;5811.3068891732855
Module1_2_3_2;575.3308668815688
Module1_2_4;12088.22364365902
Module1_2_5_1;579.1276235167907
Module1_2_5_2;367.88899308662025
Module1_2_6;12044.235256251144
Module1_3_1_1_1_1;2736.744409842749
Module1_3_1_1_1_2;267.8434219331159
Module1_3_1_1_2_1;894.5820726430505
Module1_3_1_1_2_2;383.8664746448678
Module1_3_1_2_1_1;152.21001587286972
Module1_3_1_2_1_2;134.33028209064508
Module1_3_1_2_2;354.28836270823786
Module1_3_2_1;1722.568767820244
Module1_3_2_2;6968.240245600161
Module1_4_1_1_1_1;1779.1192514085408
Module1_4_1_1_1_2;3739.402197332849
Module1_4_1_1_2;10065.480135265974
Module1_4_1_2;86.90111570138619
Module1_4_2_1;2378.17825952021
Module1_4_2_2;2385.939025157109
Module1_4_3;1512.6571524113097
Module1_5;109.45549162227196
Module1_6;4588.654202757365
Module1_7_1;660.4312348372873
Module1_7_2;10198.099564528118
Module1_7_3;153.25615462614314
Module1_8;299.7495312833062
