name;Module1_1_1;Module1_1_2;Module1_2_1;Module1_2_2;Module1_2_3;Module1_2_4;Module1_2_5;Module1_2_6;Module1_3_1;Module1_3_2;Module1_4_1;Module1_4_2;Module1_4_3;Module1_5;Module1_6;Module1_7;Module1_8
ACAd;0.0;0.0;0.0;0.0061162079510703364;0.0;0.0;0.0;0.026299694189602447;0.0;0.0;0.8868501529051988;0.0;0.0764525993883792;0.0;0.0;0.0;0.004281345565749235
ACAv;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.059571088165210485;0.0;0.0;0.7982525814138205;0.0;0.08101667990468626;0.0;0.0;0.0;0.0
AId;0.0010758472296933835;0.9806347498655191;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.006993006993006993;0.0;0.0;0.0;0.0;0.0
AIp;0.922824302134647;0.010673234811165846;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AIv;0.0011574074074074073;0.7581018518518519;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.008101851851851851;0.0;0.0;0.0;0.0;0.0
AUDd;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AUDp;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8331780055917987;0.0;0.0;0.0;0.0;0.1668219944082013;0.0;0.0;0.0
AUDpo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AUDv;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3875968992248062;0.0;0.0;0.0;0.0;0.6124031007751938;0.0;0.0;0.0
ECT;0.541958041958042;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11072261072261072;0.0;0.0;0.0;0.0;0.34498834498834496;0.0;0.0;0.0
FRP;0.0;0.5859213250517599;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2608695652173913;0.016563146997929608;0.0;0.0;0.0;0.13457556935817805
GU;0.3671607753705815;0.6328392246294184;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ILA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8318385650224215;0.14573991031390135;0.0;0.0;0.0;0.0
MOp;0.0;0.48161894662424887;0.0;0.0007069635913750442;0.02191587133262637;0.0;0.0;0.0;0.0;0.0;0.14298338635560268;0.0;0.0;0.0;0.3527748320961471;0.0;0.0
MOs;0.0;0.3221271393643032;0.0;0.014669926650366748;0.0007640586797066015;0.0;0.0;0.0012224938875305623;0.0;0.0;0.30165036674816625;0.0001528117359413203;0.008710268948655257;0.0;0.04920537897310513;0.0;0.3014975550122249
ORBl;0.0;0.3136094674556213;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5510355029585798;0.0;0.0;0.0;0.0;0.0007396449704142012
ORBm;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9209809264305178;0.05722070844686648;0.0;0.0;0.0;0.0013623978201634877
ORBvl;0.0;0.015677491601343786;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9529675251959686;0.0;0.0;0.0;0.0;0.0033594624860022394
PERI;0.49874686716791977;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09523809523809523;0.0;0.0;0.0;0.0;0.37092731829573933;0.0;0.0;0.0
PL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.076138147566719;0.036891679748822605;0.8241758241758241;0.0;0.0;0.0;0.06279434850863422
RSPagl;0.0;0.0;0.3228621291448517;0.16143106457242584;0.16753926701570682;0.20855148342059338;0.1300174520069808;0.0;0.006980802792321117;0.002617801047120419;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RSPd;0.0;0.0;0.31194574856546686;0.4282733437663015;0.0;0.16327595200834638;0.07355242566510173;0.011476264997391758;0.0010432968179447052;0.0036515388628064684;0.0010432968179447052;0.0;0.0;0.0;0.0;0.0;0.0
RSPv;0.0;0.0;0.46006247211066487;0.34002677376171353;0.0;0.08032128514056225;0.0;0.08835341365461848;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SSp-bfd;0.0;0.0;0.0;0.0;0.026717557251908396;0.0;0.009541984732824428;0.0;0.6087786259541985;0.0;0.0;0.0;0.0;0.0;0.07729007633587787;0.2776717557251908;0.0
SSp-ll;0.0;0.0;0.0;0.0;0.7726120033812341;0.0;0.0;0.0;0.0;0.0;0.023668639053254437;0.0;0.0;0.0;0.2037193575655114;0.0;0.0
SSp-m;0.0;0.9749115471212608;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.025088452878739145;0.0;0.0
SSp-n;0.0;0.1693121693121693;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04828042328042328;0.7824074074074074;0.0
SSp-tr;0.0;0.0;0.0;0.0;0.9683908045977011;0.0;0.031609195402298854;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SSp-ul;0.0;0.014316012725344645;0.0;0.0;0.16967126193001061;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8160127253446448;0.0;0.0
SSp-un;0.0;0.0015873015873015873;0.0;0.0;0.2222222222222222;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7761904761904762;0.0;0.0
SSs;0.30608153263533083;0.1472488304744932;0.0;0.0;0.0;0.0;0.0;0.0;0.32813544219202495;0.0;0.0;0.0;0.0;0.0;0.0;0.21853419469815102;0.0
TEa;0.16634553628773283;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4258188824662813;0.0006422607578676942;0.0;0.0;0.0;0.4071933204881182;0.0;0.0;0.0
VISC;0.9890387858347386;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010961214165261383;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VISa;0.0;0.0;0.0;0.0;0.4407252440725244;0.0;0.5550906555090656;0.0;0.0041841004184100415;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VISal;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VISam;0.0;0.0;0.41645244215938304;0.0;0.12082262210796915;0.0;0.46272493573264784;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VISl;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VISli;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VISp;0.0;0.0;0.0;0.0;0.0;0.012683201803833146;0.5453776775648252;0.0;0.4298196166854566;0.012119503945885006;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VISpl;0.0;0.0;0.0;0.0;0.0;0.0;0.002544529262086514;0.0;0.089058524173028;0.8931297709923665;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VISpm;0.0;0.0;0.15105162523900573;0.0;0.0;0.1147227533460803;0.734225621414914;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VISpor;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2583201267828843;0.7179080824088748;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VISrl;0.0;0.0;0.0;0.0;0.0;0.0;0.023762376237623763;0.0;0.9762376237623762;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
