region;gradient_deviation
Module1_1_1;68.25793320619049
Module1_1_2;57.77377164844829
Module1_2_1;72.46775417005964
Module1_2_2;57.29764685491527
Module1_2_3;47.73524288913338
Module1_2_4;56.13472508364627
Module1_2_5;48.86356041143906
Module1_2_6;59.34141347839866
Module1_3_1;57.58869136800409
Module1_3_2;46.14287530151955
Module1_4_1;56.0009817857562
Module1_4_2;62.75428062319788
Module1_4_3;53.682244345395
Module1_5;64.27382459979876
Module1_6;49.91558935676573
Module1_7;60.45973597601967
Module1_8;44.309117828680066
