region;mean_gradient_dispersion
Module1_1_1;1.0
Module1_1_2;1.0
Module1_2_1;1.0
Module1_2_2;1.0
Module1_2_3;1.0
Module1_2_4;1.0
Module1_2_5;1.0
Module1_2_6;1.0
Module1_3_1;1.0
Module1_3_2;1.0
Module1_4_1;1.0
Module1_4_2;1.0
Module1_4_3;1.0
Module1_5;1.0
Module1_6;1.0
Module1_7;1.0
Module1_8;1.0
