region;sum_gradient_dispersion
Module1_1_1;35.185681903644294
Module1_1_2;226.4098271218932
Module1_2_1;142.34769234286358
Module1_2_2;45.613606608475415
Module1_2_3;27.27445504594076
Module1_2_4;156.2991154956727
Module1_2_5;26.026359313028934
Module1_2_6;66.76669035237599
Module1_3_1;215.5923207137611
Module1_3_2;30.684282759068736
Module1_4_1;71.09345849520909
Module1_4_2;60.19256710812923
Module1_4_3;19.63550257305944
Module1_5;10.14517685460332
Module1_6;35.63039679327834
Module1_7;50.81649283575175
Module1_8;24.204552266429808
