region;gradient_deviation
Module1;67.27182227106249
Module1_1;59.14659823879331
Module1_2;57.65343190299411
Module1_3;58.38839603416111
Module1_4;58.66800553703294
Module1_5;64.27382459979881
Module1_6;49.91558935676572
Module1_7;60.4597359760198
Module1_8;44.309117828680506
Module1_1_1;68.25793320619049
Module1_1_2;57.77377164844829
Module1_2_1;72.46775417005964
Module1_2_2;57.29764685491527
Module1_2_3;47.73524288913338
Module1_2_4;56.13472508364627
Module1_2_5;48.86356041143906
Module1_2_6;59.34141347839866
Module1_3_1;57.58869136800409
Module1_3_2;46.14287530151955
Module1_4_1;56.0009817857562
Module1_4_2;62.75428062319788
Module1_4_3;53.682244345395
Module1_1_1_1;46.472942789229165
Module1_1_1_2;31.86675358082609
Module1_1_1_3;45.70495848579164
Module1_1_2_1;57.14391292440866
Module1_1_2_2;67.92559619939239
Module1_1_2_3;50.05656631878768
Module1_2_2_1;64.3611537169118
Module1_2_2_2;60.78457396844675
Module1_2_3_1;50.94624804324481
Module1_2_3_2;44.03982725343227
Module1_2_5_1;41.61869103023892
Module1_2_5_2;45.73008068286504
Module1_3_1_1;38.37023723655934
Module1_3_1_2;60.5132433130013
Module1_4_1_1;52.73397718443788
Module1_4_1_2;26.182710120084725
Module1_4_2_1;49.63174726764904
Module1_4_2_2;48.69754794227727
Module1_7_1;41.42150910869846
Module1_7_2;59.11164922572343
Module1_7_3;26.57812875713198
Module1_1_2_3_1;47.61565677324039
Module1_1_2_3_2;31.25629861910378
Module1_3_1_1_1;63.574442511852986
Module1_3_1_1_2;35.471264163530456
Module1_3_1_2_1;50.77736833066873
Module1_3_1_2_2;54.0201675475497
Module1_3_2_1;41.30245759011854
Module1_3_2_2;35.64979051068772
Module1_4_1_1_1;47.56539599536577
Module1_4_1_1_2;44.04438921012393
Module1_1_2_2_1;38.72684570897379
Module1_1_2_2_2;50.88935431763299
Module1_1_2_3_1_1;56.02457608203644
Module1_1_2_3_1_2;35.25038890877576
Module1_2_1_1;53.7332882459416
Module1_2_1_2;37.87535099343653
Module1_3_1_1_1_1;33.46643584239348
Module1_3_1_1_1_2;30.73325709964871
Module1_3_1_1_2_1;41.14643338844432
Module1_3_1_1_2_2;30.96257513392378
Module1_3_1_2_1_1;26.24666426536198
Module1_3_1_2_1_2;30.29210341762213
Module1_4_1_1_1_1;54.78584337810947
Module1_4_1_1_1_2;41.30827826433275
Module1_1_1_3_1;25.43025608689294
Module1_1_1_3_2;53.6901784312964
Module1_1_2_3_1_1_1;36.70560876510955
Module1_1_2_3_1_1_2;52.48011851256536
Module1_1_2_3_1_1_3;23.963056184167684
Module1_2_1_1_1;45.15405726517489
Module1_2_1_1_2;51.58530974597024
Module1_2_1_1_3;47.75714171057481
Module1_2_2_2_1;46.22156371567385
Module1_2_2_2_2;47.63942350782828
Module1_2_3_1_1;49.65936498643419
Module1_2_3_1_2;75.9890749845998
Module1_2_3_2_1;60.18709658331954
Module1_2_3_2_2;28.126401651709035
Module1_2_5_1_1;45.63433227764877
Module1_2_5_1_2;19.60358569642365
Module1_3_1_1_1_1_1;28.53154115069376
Module1_3_1_1_1_1_2;29.38316523470492
Module1_3_1_1_1_1_3;45.109552823428366
Module1_3_1_1_2_1_1;50.10941362183839
Module1_3_1_1_2_1_2;38.23237344047548
Module1_3_1_2_2_1;49.724004027024215
Module1_3_1_2_2_2;40.30262724065878
Module1_3_2_1_1;55.54500151500714
Module1_3_2_1_2;35.73189443822914
Module1_4_1_1_1_2_1;31.77438944107213
Module1_4_1_1_1_2_2;31.450280174083872
Module1_4_2_1_1;46.86405503844429
Module1_4_2_1_2;30.429771283605994
Module1_4_2_1_3;55.3026661262644
Module1_4_2_2_1;48.23853777755182
Module1_4_2_2_2;38.814959707625576
Module1_5_1;57.41821135953096
Module1_5_2;39.00412978587398
Module1_6_1;73.9113620709762
Module1_6_2;49.293962726222325
