region;reversal_index
Module1;0.8839022091073241
Module1_1;0.5521024826701683
Module1_2;0.6025020335457831
Module1_3;0.4752406062540882
Module1_4;0.4311609174504002
Module1_5;0.0562603419746276
Module1_6;0.3477181453085067
Module1_7;0.3667645331767469
Module1_8;0.1319073083778966
Module1_1_1;0.5665714397526709
Module1_1_2;0.4635670562047858
Module1_2_1;0.3558441558441558
Module1_2_2;0.4935224865770159
Module1_2_3;0.3732666041080179
Module1_2_4;0.5963773069036227
Module1_2_5;0.3778995990051266
Module1_2_6;0.4370748299319728
Module1_3_1;0.334568840939427
Module1_3_2;0.1955974842767295
Module1_4_1;0.4894109721695928
Module1_4_2;0.3629179331306991
Module1_4_3;0.224313725490196
Module1_1_1_1;0.5120537704468296
Module1_1_1_2;0.0251491901108269
Module1_1_1_3;0.1479175611850579
Module1_1_2_1;0.464367816091954
Module1_1_2_2;0.253056628056628
Module1_1_2_3;0.2503328719267023
Module1_2_2_1;0.003003003003003
Module1_2_2_2;0.6416122004357299
Module1_2_3_1;0.3112659698025551
Module1_2_3_2;0.2155144433625446
Module1_2_5_1;0.2052063492063492
Module1_2_5_2;0.054354178842782
Module1_3_1_1;0.2253998480097134
Module1_3_1_2;0.1747489239598278
Module1_4_1_1;0.625725900116144
Module1_4_1_2;0.0
Module1_4_2_1;0.0747899159663865
Module1_4_2_2;0.515015015015015
Module1_7_1;0.1994301994301994
Module1_7_2;0.3646723646723647
Module1_7_3;0.002177068214804
Module1_1_2_3_1;0.2361247511612475
Module1_1_2_3_2;0.0153180153180153
Module1_3_1_1_1;0.6074646074646075
Module1_3_1_1_2;0.0870212179663819
Module1_3_1_2_1;0.5010660980810234
Module1_3_1_2_2;0.081967213114754
Module1_3_2_1;0.2810775722168127
Module1_3_2_2;0.2374491180461329
Module1_4_1_1_1;0.6007850042184806
Module1_4_1_1_2;0.0873015873015873
Module1_1_2_2_1;0.1376811594202898
Module1_1_2_2_2;0.1703072935949648
Module1_1_2_3_1_1;0.25175983436853
Module1_1_2_3_1_2;0.12375533428165
Module1_2_1_1;0.440406976744186
Module1_2_1_2;0.1193277310924369
Module1_3_1_1_1_1;0.1998438719750195
Module1_3_1_1_1_2;0.0305084745762711
Module1_3_1_1_2_1;0.0086253369272237
Module1_3_1_1_2_2;0.0955710955710955
Module1_3_1_2_1_1;0.0182692307692307
Module1_3_1_2_1_2;0.0005464480874316
Module1_4_1_1_1_1;0.3470175438596491
Module1_4_1_1_1_2;0.3115773115773115
Module1_1_1_3_1;0.0253623188405797
Module1_1_1_3_2;0.1157894736842105
Module1_1_2_3_1_1_1;0.0889795918367346
Module1_1_2_3_1_1_2;0.4368815592203898
Module1_1_2_3_1_1_3;0.0521008403361344
Module1_2_1_1_1;0.4262485481997677
Module1_2_1_1_2;0.1876923076923076
Module1_2_1_1_3;0.5810810810810811
Module1_2_2_2_1;0.5203953279424978
Module1_2_2_2_2;0.4333333333333333
Module1_2_3_1_1;0.0473684210526315
Module1_2_3_1_2;0.0
Module1_2_3_2_1;0.1873015873015873
Module1_2_3_2_2;0.0
Module1_2_5_1_1;0.3214118747078074
Module1_2_5_1_2;0.0
Module1_3_1_1_1_1_1;0.0
Module1_3_1_1_1_1_2;0.0929292929292929
Module1_3_1_1_1_1_3;0.2655838454784899
Module1_3_1_1_2_1_1;0.1121099947117927
Module1_3_1_1_2_1_2;0.0
Module1_3_1_2_2_1;0.3004032258064516
Module1_3_1_2_2_2;0.087719298245614
Module1_3_2_1_1;0.243076923076923
Module1_3_2_1_2;0.0212560386473429
Module1_4_1_1_1_2_1;0.3755555555555555
Module1_4_1_1_1_2_2;0.0185185185185185
Module1_4_2_1_1;0.15
Module1_4_2_1_2;0.0
Module1_4_2_1_3;0.1201201201201201
Module1_4_2_2_1;0.0
Module1_4_2_2_2;0.2272727272727272
Module1_5_1;0.4189189189189189
Module1_5_2;0.0522875816993464
Module1_6_1;0.4906930693069307
Module1_6_2;0.0095137420718816
