region;banana_factor
Module1_1_1_1;0.5163660309914352
Module1_1_1_2;0.3540750397869566
Module1_1_1_3;0.5078328720643515
Module1_1_2_1;0.6349323658267629
Module1_1_2_2;0.7547288466599154
Module1_1_2_3;0.556184070208752
Module1_2_1;0.8051972685562173
Module1_2_2_1;0.715123930187909
Module1_2_2_2;0.6753841552049639
Module1_2_3_1;0.5660694227027202
Module1_2_3_2;0.4893314139270253
Module1_2_4;0.6237191675960682
Module1_2_5_1;0.4624299003359879
Module1_2_5_2;0.5081120075873893
Module1_2_6;0.659349038648873
Module1_3_1_1;0.4263359692951038
Module1_3_1_2;0.672369370144459
Module1_3_2;0.5126986144613286
Module1_4_1_1;0.5859330798270875
Module1_4_1_2;0.2909190013342747
Module1_4_2_1;0.5514638585294338
Module1_4_2_2;0.541083866025303
Module1_4_3;0.5964693816154932
Module1_5;0.7141536066644306
Module1_6;0.5546176595196158
Module1_7_1;0.4602389900966495
Module1_7_2;0.6567961025080381
Module1_7_3;0.295312541745911
Module1_8;0.49232353142978175
