region;banana_factor
Module1_1_1_1;0.5163660309914329
Module1_1_1_2;0.3540750397869595
Module1_1_1_3_1;0.2825584009654771
Module1_1_1_3_2;0.5965575381255155
Module1_1_2_1;0.6349323658267332
Module1_1_2_2_1;0.4302982856552609
Module1_1_2_2_2;0.5654372701959224
Module1_1_2_3_1_1_1;0.4078400973901061
Module1_1_2_3_1_1_2;0.5831124279173929
Module1_1_2_3_1_1_3;0.2662561798240854
Module1_1_2_3_1_2;0.391670987875287
Module1_1_2_3_2;0.3472922068789313
Module1_2_1_1_1;0.5017117473908322
Module1_2_1_1_2;0.5731701082885583
Module1_2_1_1_3;0.5306349078952756
Module1_2_1_2;0.4208372332604049
Module1_2_2_1;0.7151239301879108
Module1_2_2_2_1;0.513572930174154
Module1_2_2_2_2;0.5293269278647585
Module1_2_3_1_1;0.551770722071491
Module1_2_3_1_2;0.8443230553844423
Module1_2_3_2_1;0.6687455175924395
Module1_2_3_2_2;0.3125155739078781
Module1_2_4;0.6237191675960697
Module1_2_5_1_1;0.5070481364183196
Module1_2_5_1_2;0.2178176188491517
Module1_2_5_2;0.5081120075873942
Module1_2_6;0.6593490386488718
Module1_3_1_1_1_1_1;0.3170171238965972
Module1_3_1_1_1_1_2;0.3264796137189435
Module1_3_1_1_1_1_3;0.5012172535936487
Module1_3_1_1_1_2;0.3414806344405441
Module1_3_1_1_2_1_1;0.556771262464871
Module1_3_1_1_2_1_2;0.4248041493386164
Module1_3_1_1_2_2;0.3440286125991522
Module1_3_1_2_1_1;0.2916296029484645
Module1_3_1_2_1_2;0.3365789268624702
Module1_3_1_2_2_1;0.5524889336336024
Module1_3_1_2_2_2;0.4478069693406529
Module1_3_2_1_1;0.6171666835000793
Module1_3_2_1_2;0.397021049313657
Module1_3_2_2;0.3961087834520884
Module1_4_1_1_1_1;0.6087315930901006
Module1_4_1_1_1_2_1;0.3530487715674681
Module1_4_1_1_1_2_2;0.3494475574898207
Module1_4_1_1_2;0.4893821023347179
Module1_4_1_2;0.2909190013342724
Module1_4_2_1_1;0.520711722649381
Module1_4_2_1_2;0.3381085698178443
Module1_4_2_1_3;0.6144740680696044
Module1_4_2_2_1;0.5359837530839091
Module1_4_2_2_2;0.4312773300847285
Module1_4_3;0.5964693816154991
Module1_5_1;0.6379801262170106
Module1_5_2;0.4333792198430443
Module1_6_1;0.8212373563441798
Module1_6_2;0.5477106969580259
Module1_7_1;0.4602389900966389
Module1_7_2;0.6567961025080431
Module1_7_3;0.2953125417459157
Module1_8;0.49232353142977936
