region;gradient_deviation
Module1_1_1_1;46.47294278922895
Module1_1_1_2;31.86675358082635
Module1_1_1_3_1;25.43025608689294
Module1_1_1_3_2;53.6901784312964
Module1_1_2_1;57.14391292440597
Module1_1_2_2_1;38.726845708973485
Module1_1_2_2_2;50.88935431763301
Module1_1_2_3_1_1_1;36.70560876510955
Module1_1_2_3_1_1_2;52.48011851256536
Module1_1_2_3_1_1_3;23.963056184167684
Module1_1_2_3_1_2;35.250388908775825
Module1_1_2_3_2;31.25629861910382
Module1_2_1_1_1;45.15405726517489
Module1_2_1_1_2;51.58530974597024
Module1_2_1_1_3;47.75714171057481
Module1_2_1_2;37.87535099343644
Module1_2_2_1;64.36115371691199
Module1_2_2_2_1;46.22156371567385
Module1_2_2_2_2;47.63942350782828
Module1_2_3_1_1;49.65936498643419
Module1_2_3_1_2;75.9890749845998
Module1_2_3_2_1;60.18709658331954
Module1_2_3_2_2;28.126401651709035
Module1_2_4;56.13472508364627
Module1_2_5_1_1;45.63433227764877
Module1_2_5_1_2;19.60358569642365
Module1_2_5_2;45.73008068286548
Module1_2_6;59.34141347839847
Module1_3_1_1_1_1_1;28.53154115069376
Module1_3_1_1_1_1_2;29.38316523470492
Module1_3_1_1_1_1_3;45.109552823428366
Module1_3_1_1_1_2;30.73325709964897
Module1_3_1_1_2_1_1;50.10941362183839
Module1_3_1_1_2_1_2;38.23237344047548
Module1_3_1_1_2_2;30.96257513392369
Module1_3_1_2_1_1;26.24666426536181
Module1_3_1_2_1_2;30.292103417622315
Module1_3_1_2_2_1;49.724004027024215
Module1_3_1_2_2_2;40.30262724065878
Module1_3_2_1_1;55.54500151500714
Module1_3_2_1_2;35.73189443822914
Module1_3_2_2;35.64979051068796
Module1_4_1_1_1_1;54.78584337810905
Module1_4_1_1_1_2_1;31.77438944107213
Module1_4_1_1_1_2_2;31.450280174083872
Module1_4_1_1_2;44.04438921012461
Module1_4_1_2;26.18271012008451
Module1_4_2_1_1;46.86405503844429
Module1_4_2_1_2;30.429771283605994
Module1_4_2_1_3;55.3026661262644
Module1_4_2_2_1;48.23853777755182
Module1_4_2_2_2;38.814959707625576
Module1_4_3;53.68224434539493
Module1_5_1;57.41821135953096
Module1_5_2;39.00412978587398
Module1_6_1;73.9113620709762
Module1_6_2;49.293962726222325
Module1_7_1;41.4215091086975
Module1_7_2;59.11164922572388
Module1_7_3;26.578128757132408
Module1_8;44.309117828680144
