region;banana_factor
Module1_1_1_1;0.5163660309914343
Module1_1_1_2;0.354075039786958
Module1_1_1_3;0.5078328720643466
Module1_1_2_1;0.6349323658267619
Module1_1_2_2;0.7547288466599158
Module1_1_2_3_1;0.5290628530360043
Module1_1_2_3_2;0.3472922068789309
Module1_2_1;0.8051972685562183
Module1_2_2_1;0.7151239301879097
Module1_2_2_2;0.6753841552049823
Module1_2_3_1;0.5660694227027204
Module1_2_3_2;0.4893314139270254
Module1_2_4;0.6237191675960686
Module1_2_5_1;0.4624299003359936
Module1_2_5_2;0.5081120075873902
Module1_2_6;0.6593490386488711
Module1_3_1_1_1;0.7063826945761443
Module1_3_1_1_2;0.3941251573725606
Module1_3_1_2_1;0.5641929814518748
Module1_3_1_2_2;0.6002240838616634
Module1_3_2_1;0.4589161954457615
Module1_3_2_2;0.3961087834520858
Module1_4_1_1_1;0.5285043999485085
Module1_4_1_1_2;0.4893821023347103
Module1_4_1_2;0.2909190013342749
Module1_4_2_1;0.5514638585294285
Module1_4_2_2;0.5410838660253043
Module1_4_3;0.5964693816155022
Module1_5;0.7141536066644308
Module1_6;0.5546176595196206
Module1_7_1;0.4602389900966445
Module1_7_2;0.6567961025080374
Module1_7_3;0.295312541745912
Module1_8;0.4923235314297778
