region;sum_gradient_dispersion
Module1_1_1_1;64.61281776817992
Module1_1_1_2;6.436203940679962
Module1_1_1_3;32.48495766936771
Module1_1_2_1;30.59770316709516
Module1_1_2_2;261.5650533024366
Module1_1_2_3_1;37.589421243475314
Module1_1_2_3_2;30.387714152748146
Module1_2_1;142.34769234286358
Module1_2_2_1;12.562964233587484
Module1_2_2_2;70.54418326138622
Module1_2_3_1;166.63131825388146
Module1_2_3_2;16.26872021234538
Module1_2_4;156.29911549567262
Module1_2_5_1;13.599803758158636
Module1_2_5_2;83.02555450857662
Module1_2_6;66.76669035237695
Module1_3_1_1_1;63.1305497230272
Module1_3_1_1_2;139.90475127833594
Module1_3_1_2_1;7.226634682275366
Module1_3_1_2_2;51.13895690126748
Module1_3_2_1;77.97702450639107
Module1_3_2_2;18.23554427724695
Module1_4_1_1_1;93.08718977677545
Module1_4_1_1_2;11.917663094880297
Module1_4_1_2;4.147432749202071
Module1_4_2_1;22.027364800500443
Module1_4_2_2;14.291569416991472
Module1_4_3;19.63550257305971
Module1_5;10.14517685460314
Module1_6;35.63039679327845
Module1_7_1;5.937257939651009
Module1_7_2;45.94238176457145
Module1_7_3;29.576609853001727
Module1_8;24.20455226642995
