region;mean_gradient_variance
Module1_1_1_1;2549.17246560595
Module1_1_1_2;287.81550803326985
Module1_1_1_3;8819.700858832397
Module1_1_2_1;1771.769275120028
Module1_1_2_2;7551.021987872428
Module1_1_2_3_1;2388.26184132843
Module1_1_2_3_2;207.55474587151625
Module1_2_1;13805.679457283606
Module1_2_2_1;5936.639852849574
Module1_2_2_2;6732.72146795262
Module1_2_3_1;5811.30688917334
Module1_2_3_2;575.3308668815712
Module1_2_4;12088.22364365902
Module1_2_5_1;579.1276235167804
Module1_2_5_2;367.8889930866185
Module1_2_6;12044.235256251157
Module1_3_1_1_1;9635.898684483038
Module1_3_1_1_2;1879.0414438340229
Module1_3_1_2_1;17093.91735491287
Module1_3_1_2_2;354.28836270824866
Module1_3_2_1;1722.568767820219
Module1_3_2_2;6968.240245600164
Module1_4_1_1_1;3729.661720091076
Module1_4_1_1_2;10065.480135265994
Module1_4_1_2;86.9011157013852
Module1_4_2_1;2378.178259520195
Module1_4_2_2;2385.939025157112
Module1_4_3;1512.657152411312
Module1_5;109.455491622271
Module1_6;4588.654202757369
Module1_7_1;660.431234837288
Module1_7_2;10198.099564528096
Module1_7_3;153.25615462614346
Module1_8;299.7495312833008
